group,,X,X,X,X,X,X,X,X,W,W,Z,Z,sampling,bolus,bolus,bolus,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-bolus,cumulative-bolus,cumulative-bolus,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,initial-volume,computed-volume
var,,VCD:VCD,X:Glc,X:Gln,X:Amm,X:Lac,X:DCD,X:Lysed,X:Titer,W:temp,W:pH,Z:Stir,Z:DO,SampleVol:BRvol,BolusFeed:BRvol,BolusFeed_Glc:Glc,BolusFeed_Gln:Gln,Cumulative-SampleVol:BRvol,Cumulative-SampleVol:VCD,Cumulative-SampleVol:Glc,Cumulative-SampleVol:Gln,Cumulative-SampleVol:Amm,Cumulative-SampleVol:Lac,Cumulative-SampleVol:DCD,Cumulative-SampleVol:Lysed,Cumulative-SampleVol:Titer,Cumulative-BolusFeed:BRvol,Cumulative-BolusFeed_Glc:Glc,Cumulative-BolusFeed_Gln:Gln,Cumulative-Total:BRvol,Cumulative-Total:VCD,Cumulative-Total:Glc,Cumulative-Total:Gln,Cumulative-Total:Amm,Cumulative-Total:Lac,Cumulative-Total:DCD,Cumulative-Total:Lysed,Cumulative-Total:Titer,Volume:BRvol,ComputedBRvol
run_idx,timestamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,691200,31.71766471239208,10.5873174909611,0.0,3.851652817952806,4.548290735781539,5.490768576555261,0.02923859776275887,1767.625916387573,36.57894736842105,6.763157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.526315789473678,40.736842105263165,0.0,0.0,26.526315789473678,40.736842105263165,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,777600,34.70743494838386,10.11813463087828,0.0,4.237289113583986,4.237969542857835,7.921038562936052,0.06045928235890578,2117.21139267004,36.57894736842105,6.763157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.947368421052623,47.52631578947369,0.0,0.0,30.947368421052623,47.52631578947369,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,864000,37.37262964749296,9.365356386353364,0.0,4.615778498900427,4.059116931250049,10.63932338766423,0.1037018028660785,2475.751405850548,35.1578947368421,6.763157894736842,163.1578947368421,73.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.36842105263157,54.31578947368422,0.0,0.0,35.36842105263157,54.31578947368422,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,950400,35.11760463682308,5.837659937262871,0.0,4.581017862903723,3.346629036147618,12.86409701372413,0.1339531874760773,2470.402241761998,35.1578947368421,6.763157894736842,163.1578947368421,73.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.36842105263157,54.31578947368422,0.0,0.0,35.36842105263157,54.31578947368422,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1036800,33.24380651103426,2.539379463573324,0.0,4.54823291163274,2.757741964628296,14.70244697499844,0.169401351990607,2464.075724820565,35.1578947368421,6.763157894736842,163.1578947368421,73.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.36842105263157,54.31578947368422,0.0,0.0,35.36842105263157,54.31578947368422,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1123200,31.76497195539892,0.005530592054030521,0.0,4.51707016261112,1.600658106148195,16.14159360168229,0.2090892809421115,2456.549887307018,35.1578947368421,6.763157894736842,163.1578947368421,73.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.36842105263157,54.31578947368422,0.0,0.0,35.36842105263157,54.31578947368422,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1209600,31.12443499920874,0.0004720263787771069,0.0,4.486932114472783,0.5436245340417558,16.73980916001112,0.2514106788034503,2447.578135607453,35.1578947368421,6.763157894736842,163.1578947368421,73.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.36842105263157,54.31578947368422,0.0,0.0,35.36842105263157,54.31578947368422,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0,0.7615165143785472,2.625783856590768,5.632793428453423,0.1,0.1,0.0,0.0,0.0,36.78947368421053,7.421052631578947,226.3157894736842,36.57894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,86400,1.879275760997864,2.164471823837599,4.260228840449268,0.310672413802525,0.8841157995892133,0.001168243218533607,1.681476301885326e-06,11.72418473697429,36.78947368421053,7.421052631578947,226.3157894736842,36.57894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,172800,3.883689543903372,1.289728540953141,1.907177461276383,0.5319466801837351,2.177941869076033,0.01398594488538346,3.325088766995288e-05,46.87847468745566,36.78947368421053,7.421052631578947,226.3157894736842,36.57894736842105,0.0,0.0,3.789473684210527,7.842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,259200,6.988539107934934,3.622563194134413,5.89648881649377,0.9579628608654699,3.689170895452585,0.08213940886818605,0.0002574030658002028,131.2583505664468,36.78947368421053,7.421052631578947,226.3157894736842,36.57894736842105,0.0,0.0,3.789473684210527,7.842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.789473684210527,7.842105263157895,0.0,0.0,3.789473684210527,7.842105263157895,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,345600,10.99652064772685,5.336133774555397,8.447286385906592,1.54185290640271,4.67409203273054,0.3124279810813473,0.001262127413815069,294.8068723954658,36.78947368421053,7.421052631578947,226.3157894736842,36.57894736842105,0.0,0.0,3.789473684210527,7.842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.578947368421054,15.68421052631579,0.0,0.0,7.578947368421054,15.68421052631579,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,432000,15.77210154990034,6.348498710534204,9.516183090749411,2.245283614130593,5.016668861354568,0.8619571939376608,0.004400168920670437,560.3853726904938,36.78947368421053,7.421052631578947,226.3157894736842,36.57894736842105,0.0,0.0,3.789473684210527,7.842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36842105263158,23.526315789473685,0.0,0.0,11.36842105263158,23.526315789473685,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,518400,21.20746976619249,6.565553351841732,9.046349073986132,3.030042655323933,4.984959101929388,1.882269154401768,0.01190696843697096,946.6007157585624,36.78947368421053,6.657894736842105,226.3157894736842,36.57894736842105,0.0,0.0,3.789473684210527,7.842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.157894736842108,31.36842105263158,0.0,0.0,15.157894736842108,31.36842105263158,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,604800,28.48486811272572,5.508936413730248,5.689382193236406,3.925219568729093,4.804799784540791,3.467617946699709,0.03510758536278347,1479.446827507746,36.10526315789474,6.657894736842105,226.3157894736842,36.57894736842105,0.0,0.0,3.789473684210527,7.842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.947368421052634,39.21052631578947,0.0,0.0,18.947368421052634,39.21052631578947,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,691200,37.04065348676723,3.166470474173156,0.0002111224627213617,4.818621676678356,3.941111733700459,5.725823227841728,0.0589459967542026,2169.738558832493,36.10526315789474,6.657894736842105,226.3157894736842,36.57894736842105,0.0,0.0,3.789473684210527,7.842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.73684210526316,47.05263157894737,0.0,0.0,22.73684210526316,47.05263157894737,0.0,0.0,0.0,0.0,0.0,1.0,1.0
