group,,X,X,X,X,X,X,X,X,W,W,Z,Z,sampling,bolus,bolus,bolus,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-bolus,cumulative-bolus,cumulative-bolus,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,initial-volume,computed-volume
var,,VCD:VCD,X:Glc,X:Gln,X:Amm,X:Lac,X:DCD,X:Lysed,X:Titer,W:temp,W:pH,Z:Stir,Z:DO,SampleVol:BRvol,BolusFeed:BRvol,BolusFeed_Glc:Glc,BolusFeed_Gln:Gln,Cumulative-SampleVol:BRvol,Cumulative-SampleVol:VCD,Cumulative-SampleVol:Glc,Cumulative-SampleVol:Gln,Cumulative-SampleVol:Amm,Cumulative-SampleVol:Lac,Cumulative-SampleVol:DCD,Cumulative-SampleVol:Lysed,Cumulative-SampleVol:Titer,Cumulative-BolusFeed:BRvol,Cumulative-BolusFeed_Glc:Glc,Cumulative-BolusFeed_Gln:Gln,Cumulative-Total:BRvol,Cumulative-Total:VCD,Cumulative-Total:Glc,Cumulative-Total:Gln,Cumulative-Total:Amm,Cumulative-Total:Lac,Cumulative-Total:DCD,Cumulative-Total:Lysed,Cumulative-Total:Titer,Volume:BRvol,ComputedBRvol
run_idx,timestamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.546521425520472,5.641989706936131,5.5465651220595,0.1,0.1,0.0,0.0,0.0,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,86400,1.493172911965492,5.260483904118693,4.37106052676584,0.299465207517236,0.7529070781645256,0.0007652187745955595,6.308771904450125e-07,5.243235799427545,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,172800,3.419607651438993,4.441766541254244,2.126844984485295,0.5204902491334147,2.060468822623304,0.01071738097654541,1.390292247251334e-05,25.38295833911901,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,259200,5.239307020171359,3.439416505887488,7.79689118329244e-09,0.6641871728236611,3.035636252004217,0.05626608415383358,0.0001110755610183572,58.42535968775174,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,345600,9.138080431109472,7.042634022798123,1.526232821006016,1.041642787549019,4.678945426042048,0.179268153268508,0.0004531558505575597,151.5203498889899,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,432000,14.12390832315942,9.875290256704128,1.375774967432271,1.523420743257287,5.72963655471734,0.5227302651487037,0.001511014685424826,325.4600301771842,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.947368421052632,12.526315789473683,0.0,0.0,10.947368421052632,12.526315789473683,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,518400,19.65676634698059,11.94934694948573,0.0003661010209081481,2.036845990563078,5.963775511202643,1.248742649493204,0.004260217361750738,583.9203262841037,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.42105263157895,18.789473684210524,0.0,0.0,16.42105263157895,18.789473684210524,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,604800,23.55982019655011,13.83862948133118,0.0,2.420174024176258,5.355345941379413,2.42724195492897,0.01012554988152142,822.1176734946624,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.894736842105264,25.052631578947366,0.0,0.0,21.894736842105264,25.052631578947366,0.0,0.0,0.0,0.0,0.0,1.0,1.0
