run,time,timesteps,X:VCD,X:Glc,X:Lac,X:Titer,W:Feed
2,0,0.0,0.576530612244898,32.04081632653061,0.0,0.0,0.0
2,1,1.0,1.696045953610509,31.11229055057243,1.2570277775090313,0.0747824078450999,12.142857142857142
2,2,2.0,4.475798278854103,32.990053331965804,4.753677752178248,1.2639312147458257,12.142857142857142
2,3,3.0,9.544466207759733,39.03911379335461,13.00157293390872,13.00186146318898,12.142857142857142
2,4,4.0,15.16531396381901,40.10185844259447,27.996695520031267,70.58783726161896,12.142857142857142
2,5,5.0,18.47074228676544,37.037803537375126,48.57761844666174,210.9075187039407,12.142857142857142
2,6,6.0,18.751854241389506,32.41633985913958,71.26974599282754,421.1963222355897,12.142857142857142
2,7,7.0,16.999519428238006,28.54647446886421,92.94898443035557,658.0917502549977,12.142857142857142
2,8,8.0,14.363996218092185,26.704208985507083,111.88639150472412,885.2096724093011,12.142857142857142
2,9,9.0,11.604576843178217,27.30321123979796,127.51874869050408,1083.6428215968845,12.142857142857142
2,10,10.0,9.100675836876158,30.25992780900893,139.9569546616572,1247.6241983466907,0.0
2,11,11.0,6.995347572971533,25.97984753374252,149.61055844105428,1378.0567228950367,0.0
2,12,12.0,5.306411384179855,20.53793167215064,156.982000300884,1478.6919325567635,0.0
2,13,13.0,3.9839077410901913,16.43325134188797,162.5451533648477,1554.9066628685762,0.0
2,14,14.0,2.966695184039032,13.365977772810336,166.70499077235368,1611.8217044951684,0.0
3,0,0.0,0.9846938775510204,43.46938775510204,0.0,0.0,0.0
3,1,1.0,2.9249576819091097,42.11575103737883,2.1824297539180297,0.164105508211151,0.0
3,2,2.0,7.444332832191713,38.40470745766825,8.166083041116508,3.673744786136776,15.20408163265306
3,3,3.0,14.420480064339324,34.28104672448483,21.321369967573112,35.32186247671071,15.20408163265306
3,4,4.0,20.57081333243489,36.13270037292429,42.85414584728475,154.34678831320295,15.20408163265306
3,5,5.0,23.12755137436929,34.63344313923112,69.79089068242651,387.7950784521392,15.20408163265306
3,6,6.0,22.33065010823708,32.55252740419164,97.66797157992208,693.7864209487878,15.20408163265306
3,7,7.0,19.648806069957416,31.875483763746413,123.28266885228646,1013.615495248714,15.20408163265306
3,8,8.0,16.31282380897557,33.52447895437812,145.1452661433552,1308.0461540356737,15.20408163265306
3,9,9.0,13.028843938823911,37.694658596943526,162.939326203935,1559.5112502067666,15.20408163265306
3,10,10.0,10.102605608179564,44.21209863405196,176.9454542072082,1764.0166792193825,0.0
3,11,11.0,7.629152917195547,45.78852821788307,187.6605436533524,1924.0159855683603,0.0
3,12,12.0,5.731307831914585,40.788789446857486,195.7213811855037,2045.8920299168967,0.0
3,13,13.0,4.294304959498489,37.03759971276014,201.77002614645343,2138.039188646103,0.0
3,14,14.0,3.2079190607230106,34.231330813861874,206.29555670809924,2207.32270920506,0.0
6,0,0.0,0.7602040816326531,45.91836734693878,0.0,0.0,0.0
6,1,1.0,1.9141143764556665,44.93535705335225,1.5991499982104411,0.0763700634007142,11.326530612244898
6,2,2.0,4.408003876496271,45.34454371167346,5.445699389353575,1.2004047047372728,11.326530612244898
6,3,3.0,8.6231479106663,51.66956589718001,13.581432771597257,10.769047562231066,11.326530612244898
6,4,4.0,13.457148205276154,54.3222189193982,27.689681352073706,55.331509943793534,11.326530612244898
6,5,5.0,16.834281247208605,53.64426667599316,47.21496460203044,169.67881535568202,11.326530612244898
6,6,6.0,17.857446383705128,51.24210526598327,69.54534066005401,356.9149807868821,11.326530612244898
6,7,7.0,16.99522186258524,48.83005687873178,91.89286610534306,587.3658271878509,11.326530612244898
6,8,8.0,15.068785638787078,47.56068327676123,112.38249670914288,826.3777227138344,0.0
6,9,9.0,12.793489696074769,39.08302910973476,130.1236250206878,1049.7114958711982,0.0
6,10,10.0,10.597325015932462,29.94038322346193,145.0020761195221,1245.9405162620585,0.0
6,11,11.0,8.59544420181317,22.44987114558976,157.1975521219229,1411.3748743127069,0.0
6,12,12.0,6.853541356095238,16.430036262308974,167.00514815735104,1546.3862233793775,0.0
6,13,13.0,5.38786140727645,11.668327985152208,174.77073081852015,1653.611268198273,0.0
6,14,14.0,4.18265740274008,7.95349374597405,180.83847709015123,1736.5908399465277,0.0
8,0,0.0,0.7908163265306123,66.3265306122449,0.0,0.0,0.0
8,1,1.0,2.2233342240594665,64.9018084421659,2.193550607418356,0.100395228326079,15.408163265306122
8,2,2.0,5.189819500047023,74.46646692324572,7.801298168106945,2.471584704867094,15.408163265306122
8,3,3.0,8.648482942575908,82.75195820225221,18.766174317262404,20.810314349562,15.408163265306122
8,4,4.0,9.89213218339913,88.4608121252639,33.69689018464,75.25006587798005,15.408163265306122
8,5,5.0,8.48011217599898,94.35032349278424,48.34900066558672,155.21180957123823,15.408163265306122
8,6,6.0,6.030387208242467,102.35264420922908,59.74842585087358,231.3966660922219,15.408163265306122
8,7,7.0,3.83431965046864,112.78820578337243,67.40216019026191,288.1189053801796,15.408163265306122
8,8,8.0,2.2927149728665563,125.13254274305396,72.1177330616482,325.0105400678119,0.0
8,9,9.0,1.3293309225353016,124.74568445028515,74.89252493334618,347.3566646464407,0.0
8,10,10.0,0.7591389409901108,123.70828935213474,76.48915967702284,360.4174988213081,0.0
8,11,11.0,0.4298972793384327,123.11833121458756,77.39715527981402,367.9092782306117,0.0
8,12,12.0,0.2423196690989927,122.78502933027806,77.91013594557718,372.1621491359598,0.0
8,13,13.0,0.1362354666329924,122.59740576605402,78.1989052220856,374.5625824428543,0.0
