run,time,timesteps,X:VCD,X:Glc,X:Gln,X:NH4,X:Lac,X:Titer,W:pH,W:Temp,F:Feed_Glc,F:Feed_Gln
1,0,0,0.4,60.0,3.0,0.1,0.1,0.0,6.9,37.5,0.0,0.0
1,1,24,1.01555147313048,82.7894246474924,2.07104358445901,0.945922705899571,5.29222027296475,8.89150134990947,6.9,37.5,30.0,1.0
1,2,48,2.06314251964792,73.8958854454724,1.50445384861042,3.22886627669734,15.5982213839384,23.4795898344916,6.9,37.5,30.0,1.0
1,3,72,2.73515036590843,106.519232317694,0.374084757065191,3.25147188055389,33.8512224327944,73.4149147906946,6.9,37.5,30.0,1.0
1,4,96,4.10671057500042,102.865067065933,0.174483517232587,4.37732928063589,43.0387629151601,150.955188790631,6.9,37.5,30.0,1.0
1,5,120,4.72301616256221,88.2110279664724,0.0,5.22300573901723,36.496690367088,189.689869102253,6.9,37.5,30.0,1.0
1,6,144,4.93202821061016,168.364784482345,0.0,5.76989078087091,74.9914271530098,346.178774661975,7.0,37.5,30.0,1.0
1,7,168,4.82731607773051,133.857140348611,0.0390182740599728,4.99170147807493,105.321299131532,348.716060875935,7.0,37.5,30.0,1.0
1,8,192,5.74548024814971,199.244957154029,0.136536757497994,5.62063747123443,125.286755500881,322.798230292134,7.0,37.5,0.0,0.0
1,9,216,4.78197286543429,234.815768047556,0.0,5.99345450697601,121.762156502009,430.402554649877,7.0,37.5,0.0,0.0
1,10,240,2.93462231717867,137.680829774603,0.103169035328298,3.25923689444922,119.732154240899,433.841473331172,7.0,37.5,0.0,0.0
1,11,264,3.54345566015696,184.345046618242,0.0547867992607318,4.76061993499082,102.848334022428,446.706953112055,7.0,37.5,0.0,0.0
1,12,288,2.40390773874998,162.281838784814,0.0,4.46375863639582,136.020095780073,395.599643755721,7.0,37.5,0.0,0.0
1,13,312,2.01399449005047,139.770074908925,0.0,3.14005604546362,123.428554914058,453.569182797918,7.0,37.5,0.0,0.0
1,14,336,1.6825603014874,183.677812577569,0.103853251785876,5.02375037690587,120.646184488194,438.802227589456,7.0,37.0,0.0,0.0
2,0,0,0.4,20.0,8.0,0.1,0.1,0.0,7.1,36.0,0.0,0.0
2,1,24,0.953393057119758,17.5398926340442,6.76936090837218,2.88961611012932,4.58787623217595,4.17720357842361,7.1,36.0,0.0,0.0
2,2,48,1.78635742763164,9.31582960370931,5.62304335843897,4.01023022750202,15.0810160562546,35.9123736997658,7.1,36.0,0.0,0.0
2,3,72,1.99131551863123,1.10120729861238,2.73711053567273,6.05108415302047,17.5504839803874,52.7640456630737,7.1,36.0,30.0,1.0
2,4,96,3.89727440186949,17.605891057862,2.63338093933167,7.97244795595481,43.170690221896,118.114401288945,7.1,36.0,30.0,1.0
2,5,120,4.04047033984833,38.7016280807305,1.74643146044887,4.78818122088147,55.4121628378154,171.892449186793,7.1,36.0,30.0,1.0
2,6,144,3.69552107032584,49.9414300103131,1.76078283913632,8.13544446414957,63.2175711280239,290.942967120901,7.1,37.0,30.0,1.0
2,7,168,3.94521405476804,76.6799867051764,1.02885033055561,10.5421742860901,78.8947077023839,366.127828894157,7.1,37.0,30.0,1.0
2,8,192,4.18219720857312,63.4811077895031,0.475635762869553,8.38801076799077,95.4815419700477,695.850635750044,7.1,37.0,0.0,0.0
2,9,216,3.64293458661933,94.2232449876202,0.0,8.65376026910807,118.473999506984,527.546026209583,7.1,37.0,0.0,0.0
2,10,240,3.27699865896298,67.3013829632329,0.0,5.57515812969109,84.4947374358113,511.779192900718,7.1,37.0,0.0,0.0
2,11,264,2.64356715770339,63.8072356189696,0.0258708508329362,9.15488691838566,128.968628186757,659.033657256845,7.1,37.0,0.0,0.0
2,12,288,1.87837912448184,48.0508149288645,0.0245570745305532,7.60455713934093,98.079235956975,680.234184876943,7.1,37.0,0.0,0.0
2,13,312,1.59067268785247,57.8099501779389,0.0,8.0124959289968,124.987314612286,486.7193346402,7.1,37.0,0.0,0.0
2,14,336,1.20432839394365,53.7760917591998,0.0943008813557295,9.7318439168227,150.568048910084,524.723439097784,6.7,37.0,0.0,0.0
3,0,0,0.4,20.0,8.0,0.1,0.1,0.0,7.1,37.5,0.0,0.0
3,1,24,1.91441151373893,8.34897473359268,6.62463701467638,2.66567690018795,10.9451615367906,11.7593639927715,7.1,37.5,0.0,0.0
3,2,48,3.03324408915629,0.0,4.83359702569864,4.55133846485742,15.4875379042066,12.3264353010284,7.1,37.5,0.0,0.0
3,3,72,2.42906874422953,0.672541015802905,2.48363792043875,4.26508907167997,22.0685935156773,22.232730912393,7.1,37.5,30.0,1.0
3,4,96,4.00360483823802,16.8927626071944,1.75829813155652,6.027805259199,41.824872622078,92.7905608784376,7.1,37.5,30.0,1.0
3,5,120,5.82190603332905,30.6513786230641,0.839011051273908,7.84237108253799,56.8240669392016,157.873227877101,7.1,37.5,30.0,1.0
3,6,144,6.18304306649181,47.6232133949366,0.180844084339341,8.51934744784285,79.4306756757822,201.657851734881,6.7,37.5,30.0,1.0
3,7,168,5.09528217271827,55.587648767793,0.85130140517699,7.58400618910363,83.0489436315444,411.968980546647,6.7,37.5,30.0,1.0
3,8,192,4.59109024585732,94.2842136123861,1.12981370783904,7.40146185272053,113.779185224269,462.532744380958,6.7,37.5,0.0,0.0
3,9,216,3.88560182493324,71.4878347920903,0.962324603505717,7.98063137216276,93.7499923963318,896.062146051624,6.7,37.5,0.0,0.0
3,10,240,3.3497567488596,44.1658335714834,0.651913887792077,8.57201166300538,91.1668727976886,628.129518638186,6.7,37.5,0.0,0.0
